name,visited,rating,href,Mon,Tue,Wed,Thu,Fri,Sat,Sun,latitude,longitude
Rooftop 25,false,3.8 ,/biz/rooftop-25-san-francisco-2?osq=Restaurants,Closed,3:00 PM - 8:00 PM,3:00 PM - 8:00 PM,3:00 PM - 9:00 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,Closed,37.778567,-122.394383
Mamahuhu,false,4.0 ,/biz/mamahuhu-san-francisco-2?osq=Restaurants,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 9:00 PM,37.782694,-122.464781
Anomaly SF,false,4.7 ,/biz/anomaly-sf-san-francisco-2?osq=Restaurants,Closed,7:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,Closed,37.784945,-122.443377
Little Original Joe’s,false,4.3 ,/biz/little-original-joes-san-francisco?osq=Restaurants,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,37.736575,-122.47032
Friends Only,false,4.9 ,/biz/friends-only-san-francisco?osq=Restaurants,,,,,,,,37.790716,-122.419231
Mamanoko,false,4.3 ,/biz/mamanoko-san-francisco-2?osq=Restaurants,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,12:00 PM - 2:30 PM,12:00 PM - 2:30 PM,12:00 PM - 2:30 PM,37.799956,-122.441438
Brioche Bakery &amp; Cafe,false,4.0 ,/biz/brioche-bakery-and-cafe-san-francisco-3?osq=Restaurants,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,37.769931,-122.449316
L’Ardoise Bistro,false,4.5 ,/biz/l-ardoise-bistro-san-francisco?osq=Restaurants,Closed,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:00 PM - 10:30 PM,5:00 PM - 10:30 PM,Closed,37.766574,-122.432988
Unco Frank’s,false,4.5 ,/biz/unco-frank-s-san-francisco?osq=Restaurants,4:30 PM - 8:45 PM,4:30 PM - 8:45 PM,4:30 PM - 8:45 PM,4:30 PM - 8:45 PM,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,4:30 PM - 8:45 PM,37.782849,-122.464117
Wilder,false,3.9 ,/biz/wilder-san-francisco?osq=Restaurants,5:00 PM - 10:00 PM,Closed,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,4:00 PM - 2:00 AM (Next day),10:00 AM - 2:00 AM (Next day),10:00 AM - 8:00 PM,37.798848,-122.435688
Big Fish House,false,4.9 ,/biz/big-fish-house-san-francisco?osq=Restaurants,Closed,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,5:00 PM - 10:00 PM,5:00 PM - 9:00 PM,37.781957,-122.481961
Chez Maman West,false,4.1 ,/biz/chez-maman-west-san-francisco-2?osq=Restaurants,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,37.776988,-122.423164
Breakfast at Tiffany’s,false,4.0 ,/biz/breakfast-at-tiffanys-san-francisco?osq=Restaurants,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:30 PM,7:00 AM - 2:30 PM,37.730449,-122.404662
Suppenküche,false,4.1 ,/biz/suppenk%C3%BCche-san-francisco-2?osq=Restaurants,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,4:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 7:00 PM,37.776239,-122.426424
Pizzetta 211,false,4.3 ,/biz/pizzetta-211-san-francisco?osq=Restaurants,11:30 AM - 2:30 PM,Closed,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:00 PM,37.783684,-122.482974
Waraku,false,3.8 ,/biz/waraku-san-francisco-2?osq=Restaurants,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 9:00 PM,37.785902,-122.428774
Kiln,false,4.6 ,/biz/kiln-san-francisco-3?osq=Restaurants,Closed,5:00 PM - 8:30 PM,5:00 PM - 8:30 PM,5:00 PM - 8:30 PM,5:00 PM - 8:30 PM,5:00 PM - 8:30 PM,Closed,37.776024,-122.420357
Cole Valley Tavern,false,4.1 ,/biz/cole-valley-tavern-san-francisco?osq=Restaurants,11:00 AM - 9:00 PM,Closed,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 8:00 PM,37.76575,-122.449729
Izakaya Sozai,false,3.8 ,/biz/izakaya-sozai-san-francisco?osq=Restaurants,5:00 PM - 9:00 PM,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 9:00 PM,37.763842,-122.47413
Bella Trattoria,false,4.3 ,/biz/bella-trattoria-san-francisco?osq=Restaurants,4:30 PM - 9:00 PM,4:30 PM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 8:00 PM,37.78136,-122.460921
Sonamu Korean Restaurant,false,4.5 ,/biz/sonamu-korean-restaurant-san-francisco-2?osq=Restaurants,11:30 AM - 3:30 PM,11:30 AM - 3:30 PM,Closed,11:30 AM - 3:30 PM,11:30 AM - 3:30 PM,11:30 AM - 3:30 PM,11:30 AM - 3:30 PM,37.780572,-122.480933
State Bird Provisions,false,4.2 ,/biz/state-bird-provisions-san-francisco?osq=Restaurants,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:30 PM,5:30 PM - 10:30 PM,5:30 PM - 10:00 PM,37.78374,-122.433005
Vico Cavone,false,3.8 ,/biz/vico-cavone-san-francisco?osq=Restaurants,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,37.760884,-122.436965
Georgian Cheese Boat,false,4.6 ,/biz/georgian-cheese-boat-san-francisco?osq=Restaurants,11:45 AM - 10:00 PM,11:45 AM - 10:00 PM,11:45 AM - 10:00 PM,11:45 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,37.798367,-122.407109
Al Carajo,false,4.9 ,/biz/al-carajo-san-francisco?osq=Restaurants,Closed,Closed,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 4:00 PM,37.755586,-122.419417
Prik Hom,false,4.6 ,/biz/prik-hom-san-francisco?osq=Restaurants,Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:00 PM,37.781837,-122.45377
a Mano,false,4.1 ,/biz/a-mano-san-francisco-2?osq=Restaurants,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 9:00 PM,37.776964,-122.423868
Cocina Mamá Cholita,false,4.9 ,/biz/cocina-mam%C3%A1-cholita-san-francisco?osq=Restaurants,Closed,Closed,11:30 AM - 8:30 PM,11:30 AM - 8:30 PM,11:30 AM - 8:30 PM,11:30 AM - 8:30 PM,10:30 AM - 7:30 PM,37.741273,-122.422503
Mr. Hen Noodles House,false,4.1 ,/biz/mr-hen-noodles-house-san-francisco?osq=Restaurants,11:00 AM - 3:30 PM,11:00 AM - 3:30 PM,11:00 AM - 3:30 PM,11:00 AM - 3:30 PM,11:00 AM - 3:30 PM,1:00 PM - 10:00 PM,5:00 PM - 10:00 PM,37.760855,-122.433696
Casaro Osteria,false,4.5 ,/biz/casaro-osteria-san-francisco-2?osq=Restaurants,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 10:00 PM,37.797443,-122.434493
Cafe Okawari,false,4.5 ,/biz/cafe-okawari-san-francisco?osq=Restaurants,10:30 AM - 7:30 PM,10:30 AM - 7:30 PM,10:30 AM - 7:30 PM,10:30 AM - 7:30 PM,10:30 AM - 7:30 PM,Closed,Closed,37.778213,-122.393939
Gurung Kitchen,false,4.6 ,/biz/gurung-kitchen-san-francisco?osq=Restaurants,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,37.76372,-122.469081
Kantine,false,4.2 ,/biz/kantine-san-francisco-2?osq=Restaurants,Closed,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,37.770655,-122.425312
Jaranita,false,4.2 ,/biz/jaranita-san-francisco-4?osq=Restaurants,Closed,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:30 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,37.800241,-122.437546
Damn Fine,false,4.3 ,/biz/damn-fine-san-francisco-2?osq=Restaurants,Closed,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 9:00 PM,37.760934,-122.498731
Kui Shin Bo,false,3.8 ,/biz/kui-shin-bo-san-francisco-2?osq=Restaurants,11:30 AM - 8:30 PM,11:30 AM - 8:30 PM,Closed,11:30 AM - 8:30 PM,11:30 AM - 8:30 PM,11:30 AM - 8:30 PM,11:30 AM - 8:30 PM,37.785367,-122.429465
Yakiniku Shodai,false,4.8 ,/biz/yakiniku-shodai-san-francisco?osq=Restaurants,Closed,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,12:00 PM - 2:00 PM,37.776224,-122.418239
The Italian Homemade Company,false,4.3 ,/biz/the-italian-homemade-company-san-francisco-8?osq=Restaurants,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,37.801752,-122.411851
Troya,false,4.0 ,/biz/troya-san-francisco-3?osq=Restaurants,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,37.789374,-122.434076
Piglet &amp; Co,false,4.3 ,/biz/piglet-and-co-san-francisco?osq=Restaurants,Closed,Closed,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,11:00 AM - 2:30 PM,37.762337,-122.419758
Marcella’s Lasagneria,false,4.6 ,/biz/marcellas-lasagneria-san-francisco-3?osq=Restaurants,Closed,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,Closed,37.758021,-122.389141
La Connessa,false,4.7 ,/biz/la-connessa-san-francisco?osq=Restaurants,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,37.763543,-122.400357
Dalida,false,4.7 ,/biz/dalida-san-francisco-2?osq=Restaurants,Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,37.800035,-122.45958
Heroic Italian,false,4.6 ,/biz/heroic-italian-san-francisco-3?osq=Restaurants,11:30 AM - 3:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,37.75977,-122.435133
Vive La Tarte,false,4.3 ,/biz/vive-la-tarte-san-francisco-5?osq=Restaurants,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,37.751477,-122.432601
Bacco,false,4.2 ,/biz/bacco-san-francisco?osq=Restaurants,Closed,5:00 PM - 8:30 PM,5:00 PM - 8:30 PM,5:00 PM - 8:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,37.751467,-122.430042
Firefly Restaurant,false,4.2 ,/biz/firefly-restaurant-san-francisco-4?osq=Restaurants,Closed,5:30 PM - 8:30 PM,5:30 PM - 8:30 PM,5:30 PM - 8:30 PM,5:30 PM - 8:30 PM,5:30 PM - 8:30 PM,Closed,37.751206,-122.438189
Andina,false,5.0 ,/biz/andina-san-francisco-2?osq=Restaurants,Closed,Closed,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,37.776231,-122.421605
Vixi,false,4.0 ,/biz/vixi-san-francisco-2?osq=Restaurants,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,37.786136,-122.45367
Copas,false,4.4 ,/biz/copas-san-francisco?osq=Restaurants,Closed,Closed,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,12:00 PM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,37.765121,-122.431377
Cafe Réveille,false,3.8 ,/biz/cafe-r%C3%A9veille-san-francisco-8?osq=Restaurants,7:00 AM - 7:30 PM,7:00 AM - 7:30 PM,7:00 AM - 7:30 PM,7:00 AM - 7:30 PM,7:00 AM - 7:30 PM,7:00 AM - 7:30 PM,7:00 AM - 7:30 PM,37.771055,-122.432099
Hoshinoya,false,4.2 ,/biz/hoshinoya-san-francisco?osq=Restaurants,Closed,11:30 AM - 4:00 PM,11:30 AM - 4:00 PM,11:30 AM - 4:00 PM,11:30 AM - 4:00 PM,11:00 AM - 9:30 PM,11:00 AM - 8:30 PM,37.786186,-122.429715
Hodala,false,4.1 ,/biz/hodala-san-francisco?osq=Restaurants,12:00 PM - 10:00 PM,Closed,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,37.780005,-122.481684
MaMa Ji’s - Temp. CLOSED,false,3.8 ,/biz/mama-jis-san-francisco-2?osq=Restaurants,,,,,,,,37.760784,-122.438718
Original Joe’s,false,4.1 ,/biz/original-joes-san-francisco-3?osq=Restaurants,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,11:30 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,37.800249,-122.40934
Picaro,false,3.9 ,/biz/picaro-san-francisco?osq=Restaurants,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 9:00 PM,37.765078,-122.422522
Burma Love,false,4.0 ,/biz/burma-love-san-francisco-10?osq=Restaurants,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 10:30 PM,11:30 AM - 10:00 PM,37.769608,-122.422099
Sisterita,false,4.7 ,/biz/sisterita-san-francisco?osq=Restaurants,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,37.794004,-122.404193
Taniku Izakaya,false,4.9 ,/biz/taniku-izakaya-san-francisco?osq=Restaurants,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,4:30 PM - 12:00 AM (Next day),4:30 PM - 12:00 AM (Next day),4:30 PM - 12:00 AM (Next day),4:30 PM - 12:00 AM (Next day),4:30 PM - 9:30 PM,37.785656,-122.420457
ABACÁ,false,4.0 ,/biz/abac%C3%A1-san-francisco-3?osq=Restaurants,7:00 AM - 10:00 AM,7:00 AM - 10:00 AM,7:00 AM - 10:00 AM,7:00 AM - 10:00 AM,7:00 AM - 10:00 AM,8:00 AM - 1:00 PM,8:00 AM - 1:00 PM,37.806737,-122.416937
Bonita Taqueria Y Rotisserie,false,4.4 ,/biz/bonita-taqueria-y-rotisserie-san-francisco-3?osq=Restaurants,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,37.764341,-122.433568
Inle Burmese Cuisine,false,4.2 ,/biz/inle-burmese-cuisine-san-francisco?osq=Restaurants,Closed,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,37.764184,-122.466804
Nara Restaurant &amp; Sake Bar,false,4.6 ,/biz/nara-restaurant-and-sake-bar-san-francisco?osq=Restaurants,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,37.772178,-122.430891
Billingsgate,false,4.5 ,/biz/billingsgate-san-francisco?osq=Restaurants,Closed,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 7:00 PM,10:00 AM - 7:00 PM,37.751541,-122.428795
Bay Pocha,false,4.1 ,/biz/bay-pocha-san-francisco?osq=Restaurants,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,5:00 PM - 1:00 AM (Next day),5:00 PM - 12:00 AM (Next day),37.73216,-122.473818
Odumak,false,3.9 ,/biz/odumak-san-francisco-2?osq=Restaurants,5:30 PM - 11:00 PM,Closed,5:30 PM - 11:00 PM,5:30 PM - 11:00 PM,5:30 PM - 12:00 AM (Next day),5:30 PM - 12:00 AM (Next day),5:30 PM - 11:00 PM,37.742881,-122.474144
San Tung - Temp. CLOSED,false,4.1 ,/biz/san-tung-san-francisco-2?osq=Restaurants,11:00 AM - 3:00 PM,Closed,Closed,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,37.763783,-122.469007
Café de Olla,false,4.8 ,/biz/caf%C3%A9-de-olla-san-francisco-2?osq=Restaurants,Closed,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed,37.760372,-122.418866
Pork Store Cafe,false,4.0 ,/biz/pork-store-cafe-san-francisco?osq=Restaurants,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,37.770002,-122.446253
Barnzu,false,5.0 ,/biz/barnzu-san-francisco-5?osq=Restaurants,Closed,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,Closed,37.797639,-122.429773
Delarosa Marina,false,4.0 ,/biz/delarosa-marina-san-francisco?osq=Restaurants,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 9:00 PM,37.800287,-122.43911
Cielito Lindo,false,4.4 ,/biz/cielito-lindo-san-francisco?osq=Restaurants,8:30 AM - 7:30 PM,8:30 AM - 7:30 PM,8:30 AM - 7:30 PM,8:30 AM - 7:30 PM,8:30 AM - 7:30 PM,8:30 AM - 7:30 PM,8:30 AM - 7:30 PM,37.775988,-122.496042
Eats,false,3.9 ,/biz/eats-san-francisco?osq=Restaurants,8:00 AM - 2:00 PM,Closed,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,37.783287,-122.460022
Kaiju Eats Ramen and Izakaya,false,4.0 ,/biz/kaiju-eats-ramen-and-izakaya-san-francisco-3?osq=Restaurants,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,37.781106,-122.455533
Che Fico Alimentari,false,4.1 ,/biz/che-fico-alimentari-san-francisco?osq=Restaurants,5:30 PM - 9:00 PM,5:30 PM - 9:00 PM,5:30 PM - 9:00 PM,5:30 PM - 9:00 PM,5:30 PM - 9:30 PM,5:30 PM - 9:30 PM,5:30 PM - 9:00 PM,37.777467,-122.437936
Home Plate,false,4.0 ,/biz/home-plate-san-francisco?osq=Restaurants,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,37.799905,-122.43717
Radhaus,false,4.1 ,/biz/radhaus-san-francisco-4?osq=Restaurants,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 8:00 PM,37.806722,-122.431347
Lapisara Eatery,false,4.6 ,/biz/lapisara-eatery-san-francisco-2?osq=Restaurants,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,37.787851,-122.413231
